Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Number,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,DateVals,TimeVals
200501BS70009,525840,177020,-0.189301,51.478096,3,2,1,5,11,E09000013,3,308,6,30,0,0,0,4,1,1,1,1,E01001921,33,1049
200501BS70142,523490,181080,-0.221704,51.515102,3,2,1,1,11,E09000013,3,3220,6,30,1,40,0,4,1,1,1,2,E01002877,99,1164
200501BS70144,523580,181170,-0.220376,51.515891,3,2,1,1,11,E09000013,3,3220,1,30,1,40,0,1,1,1,1,1,E01002877,71,522
200501BS70212,524830,178480,-0.203322,51.491441,3,2,1,6,11,E09000013,3,4,3,40,0,0,0,1,1,1,1,1,E01001911,132,689
200501BS70289,523160,181570,-0.226286,51.519577,3,2,1,6,11,E09000013,4,412,6,30,3,412,0,1,2,2,1,1,E01002876,153,1112
200501BS70291,523510,181060,-0.221423,51.514918,3,2,1,5,11,E09000013,3,3220,1,30,1,40,0,1,2,2,1,1,E01002877,166,944
200501BS70298,523840,179960,-0.217055,51.504959,2,2,1,7,11,E09000013,3,3220,1,30,1,402,0,1,1,1,1,1,E01002873,161,951
200501BS70376,523910,179890,-0.216072,51.504315,2,2,1,5,11,E09000013,3,3220,1,30,1,402,0,1,1,1,1,1,E01002869,194,619
200501BS70406,523510,181070,-0.221419,51.515007,3,2,1,5,11,E09000013,3,3220,1,30,1,40,5,1,1,2,1,1,E01002877,208,504
200501BS70495,523520,181050,-0.221282,51.514826,3,2,1,7,11,E09000013,3,3220,6,30,3,40,0,1,1,1,1,1,E01002877,245,1117
200501BS70718,523680,177750,-0.220134,51.485132,3,1,1,4,11,E09000013,3,219,6,30,3,0,0,1,1,1,1,2,E01001891,354,874
200501CW11354,522700,178380,-0.234022,51.491008,3,2,1,7,11,E09000013,3,4,3,40,0,0,0,4,1,1,1,1,E01001894,273,1239
200501FH00001,522300,180080,-0.239192,51.506373,2,2,1,5,11,E09000013,3,4020,6,30,3,0,0,1,1,1,1,1,E01001860,5,583
200501FH00004,522080,180100,-0.242353,51.5066,3,2,1,6,11,E09000013,3,4020,6,30,1,0,5,1,1,1,1,1,E01001861,6,719
200501FH00005,525090,177080,-0.200074,51.478801,3,1,1,1,11,E09000013,3,304,6,30,3,0,0,4,2,2,1,1,E01001947,8,1304
200501FH00010,523680,177710,-0.220148,51.484773,3,1,1,3,11,E09000013,3,219,6,30,3,0,5,4,1,1,1,1,E01001891,3,1124
200501FH00012,521490,179650,-0.251005,51.502683,3,1,1,4,11,E09000013,6,0,6,30,3,0,0,4,1,2,1,1,E01001859,11,929
200501FH00015,524250,175760,-0.212628,51.467123,3,2,1,2,11,E09000013,3,219,3,30,0,0,0,1,2,2,1,1,,16,913
200501FH00016,523680,179720,-0.219444,51.502837,3,1,1,5,11,E09000013,6,0,6,30,0,0,0,4,1,1,1,1,E01001857,19,1096
200501FH00018,523630,177870,-0.220811,51.486222,3,2,1,7,11,E09000013,3,219,6,30,8,0,4,1,1,1,1,1,E01001890,21,725
200501FH00019,525610,175600,-0.193116,51.465385,2,1,1,7,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001934,21,839
200501FH00021,524400,176000,-0.210385,51.469247,2,2,1,6,11,E09000013,3,219,2,30,6,308,0,1,1,1,1,2,E01001915,13,989
200501FH00022,525670,176900,-0.19179,51.477055,3,2,1,5,11,E09000013,3,308,6,30,3,318,5,1,1,2,1,1,E01001923,19,829
200501FH00025,525990,177170,-0.187089,51.47941,3,1,1,5,11,E09000013,3,308,6,30,3,0,0,4,1,1,1,2,E01001920,5,989
